dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;308
201901;REFLEX HOLDING;CRISTALLIN;IRRIS;1
201901;total;total;total;436
201901;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;125
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1
201901;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;327
201902;REFLEX HOLDING;CRISTALLIN;IRRIS;1
201902;total;total;total;467
201902;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;136
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
201902;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;380
201903;REFLEX HOLDING;CRISTALLIN;IRRIS;1
201903;total;total;total;526
201903;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;142
201903;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
201903;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;389
201904;REFLEX HOLDING;CRISTALLIN;IRRIS;1
201904;total;total;total;540
201904;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;147
201904;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
201904;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;1
201905;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;399
201905;REFLEX HOLDING;CRISTALLIN;IRRIS;1
201905;total;total;total;562
201905;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;159
