dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;167
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;150
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;21
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;132
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;10
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY VILLE;1
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;24
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;15
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;33
201901;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;1
201901;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;46
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;25
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;268
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;5
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;155
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;172
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;2
201901;total;total;total;1542
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
201901;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;3
201901;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;15
201901;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;3
201901;__NO_GROUP__EIG;EIG;EO;8
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;41
201901;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;20
201901;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;12
201901;__NO_GROUP__MAIDIS;MAIDIS;AMIES;121
201901;__NO_GROUP__VISIODENT;VISIODENT;VEASY;23
201901;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;67
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;168
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;145
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;22
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;133
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;9
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY VILLE;1
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;25
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;1
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;15
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;33
201902;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;1
201902;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;42
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;41
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201902;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;270
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;4
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;154
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;175
201902;total;total;total;1574
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
201902;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;3
201902;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;15
201902;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;3
201902;__NO_GROUP__EIG;EIG;EO;8
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;41
201902;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;20
201902;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;12
