dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1897
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;71
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;649
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;106
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;5
201901;GROUPE CEGEDIM;RESIP;FSE;1
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;10
201901;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;22
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;419
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201901;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;2
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;32
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;868
201901;total;total;total;35901
201901;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;889
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;60
201901;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;767
201901;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;1011
201901;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;437
201901;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201901;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;6455
201901;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11492
201901;__NO_GROUP__MAIDIS;MAIDIS;AMIES;161
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;15
201901;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;9
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;145
201901;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3550
201901;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;321
201901;__NO_GROUP__VISIODENT;VISIODENT;VEASY;11
201901;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4650
201901;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1838
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1907
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;72
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;633
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;105
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201902;GROUPE CEGEDIM;RESIP;FSE;1
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;10
201902;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;22
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;420
201902;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201902;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;2
201902;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;32
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;872
201902;total;total;total;36055
201902;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;890
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;58
201902;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;774
201902;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;1010
201902;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;447
201902;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201902;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;6591
201902;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11500
201902;__NO_GROUP__MAIDIS;MAIDIS;AMIES;156
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;15
201902;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;9
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;143
201902;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3558
201902;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;311
201902;__NO_GROUP__VISIODENT;VISIODENT;VEASY;15
201902;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4639
201902;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1852
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1918
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;72
201903;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;639
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;104
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201903;GROUPE CEGEDIM;RESIP;FSE;1
201903;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;10
201903;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;22
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;416
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;3
201903;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201903;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;2
201903;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;32
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;881
201903;total;total;total;36183
201903;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;892
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;59
201903;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;772
201903;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;1000
201903;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;444
201903;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201903;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;6731
201903;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11481
201903;__NO_GROUP__MAIDIS;MAIDIS;AMIES;157
201903;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;15
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201903;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;9
201903;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;143
201903;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3564
201903;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;246
201903;__NO_GROUP__VISIODENT;VISIODENT;VEASY;55
201903;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4615
201903;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1888
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1952
201904;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;70
201904;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;619
201904;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201904;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;102
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;3
201904;GROUPE CEGEDIM;RESIP;FSE;1
201904;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;9
201904;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;21
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;404
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;6
201904;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201904;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;3
201904;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;32
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;881
201904;total;total;total;36093
201904;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;892
201904;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;59
201904;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;772
201904;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;978
201904;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;453
201904;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;5
201904;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;6897
201904;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11415
201904;__NO_GROUP__MAIDIS;MAIDIS;AMIES;152
201904;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;14
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201904;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;9
201904;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;141
201904;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3542
201904;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;55
201904;__NO_GROUP__VISIODENT;VISIODENT;VEASY;217
201904;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4533
201904;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1852
201905;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1961
201905;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;72
201905;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;621
201905;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201905;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;103
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;3
201905;GROUPE CEGEDIM;RESIP;FSE;1
201905;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;9
201905;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;21
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;396
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;7
201905;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201905;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;3
201905;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;32
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;870
201905;total;total;total;36163
201905;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;891
201905;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;60
201905;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;774
201905;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;985
201905;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;462
201905;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201905;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;6972
201905;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11393
201905;__NO_GROUP__MAIDIS;MAIDIS;AMIES;151
201905;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201905;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;14
201905;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201905;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;9
201905;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;142
201905;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3557
201905;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;16
201905;__NO_GROUP__VISIODENT;VISIODENT;VEASY;256
201905;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4520
201905;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1854
201906;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1971
201906;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;71
201906;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;619
201906;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201906;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;102
201906;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;3
201906;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;9
201906;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;21
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;389
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;7
201906;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201906;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;3
201906;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;30
201906;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;875
201906;total;total;total;36209
201906;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;889
201906;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;60
201906;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;773
201906;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;977
201906;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;461
201906;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201906;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;7069
201906;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11399
201906;__NO_GROUP__MAIDIS;MAIDIS;AMIES;149
201906;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201906;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;14
201906;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201906;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;9
201906;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;142
201906;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3558
201906;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;10
201906;__NO_GROUP__VISIODENT;VISIODENT;VEASY;262
201906;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4487
201906;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1842
201907;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1968
201907;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;74
201907;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;608
201907;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201907;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;99
201907;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;3
201907;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;8
201907;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;21
201907;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;373
201907;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;7
201907;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201907;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;3
201907;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;28
201907;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;869
201907;total;total;total;36013
201907;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;871
201907;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;57
201907;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;768
201907;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;957
201907;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;463
201907;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201907;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;7112
201907;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11317
201907;__NO_GROUP__MAIDIS;MAIDIS;AMIES;149
201907;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201907;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;14
201907;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201907;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;8
201907;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;137
201907;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3545
201907;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;6
201907;__NO_GROUP__VISIODENT;VISIODENT;VEASY;280
201907;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4416
201907;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1844
201908;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1819
201908;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;56
201908;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;558
201908;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201908;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;86
201908;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;3
201908;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;9
201908;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;18
201908;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;337
201908;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;4
201908;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201908;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;27
201908;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;831
201908;total;total;total;33026
201908;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;804
201908;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;50
201908;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;742
201908;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;845
201908;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;419
201908;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201908;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;6638
201908;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;10430
201908;__NO_GROUP__MAIDIS;MAIDIS;AMIES;140
201908;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201908;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;14
201908;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201908;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;6
201908;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;115
201908;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3253
201908;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;4
201908;__NO_GROUP__VISIODENT;VISIODENT;VEASY;258
201908;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;3862
201908;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1690
201909;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1972
201909;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;73
201909;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;586
201909;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201909;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;98
201909;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;3
201909;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;9
201909;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;20
201909;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;370
201909;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;7
201909;GROUPE ORISHA;SEPHIRA;INTELLIO;1
201909;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;3
201909;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;26
201909;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;866
201909;total;total;total;35999
201909;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;860
201909;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;55
201909;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;772
201909;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;948
201909;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;477
201909;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;4
201909;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;7228
201909;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;11284
201909;__NO_GROUP__MAIDIS;MAIDIS;AMIES;151
201909;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;1
201909;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;15
201909;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201909;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;8
201909;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;137
201909;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;3538
201909;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;5
201909;__NO_GROUP__VISIODENT;VISIODENT;VEASY;317
201909;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;4327
201909;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;1836
201910;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1982
201910;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;69
201910;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;573
201910;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
