dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;122
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1795
201901;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11689
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;67
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4286
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7252
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;124
201901;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;370
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;739
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;327
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;17
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;72
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3693
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;3913
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1550
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;3448
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;2
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;4425
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3887
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201901;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;7
201901;total;total;total;87831
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;462
201901;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1014
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;14076
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;9694
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;159
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6308
201901;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;7763
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;2
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;2
201901;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;1
201901;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;13
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;543
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;119
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1795
201902;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11612
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;66
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4206
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7312
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;124
201902;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;369
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;724
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;327
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
201902;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;68
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3617
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;4000
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1477
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;3408
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;4
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;4360
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3825
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201902;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;4
201902;total;total;total;87260
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;455
201902;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1004
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;13646
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;10034
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;157
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6251
201902;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;7715
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;2
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;1
201902;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;1
201902;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;13
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;539
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;118
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1827
201903;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;11785
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;63
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;4196
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;4
201903;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;7496
201903;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;125
201903;GROUPE EQUASENS;PROKOV EDITIONS;INFI PRATIK;371
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;732
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;338
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
201903;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;67
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS;3626
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ALBUS AIR;4161
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;2
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1477
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;3488
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;2
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;4377
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3924
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;1
201903;SOFIA DEVELOPPEMENT;TELEVITALE;INFIRMIER;4
201903;total;total;total;88613
201903;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;458
201903;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;1011
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE;13544
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);AGATHE YOU - E.MOTION;10602
