dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;335
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;894
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;3
201901;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;25834
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;29
201901;GROUPE CEGEDIM;CEGEDIM SANTE;KINE+4000;9
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;25758
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;33
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;275
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;90
201901;GROUPE EQUASENS;PROKOV EDITIONS;KINE PRATIK;762
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;502
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;313
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;10
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;54
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;1
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;75
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;EASYKINE;80
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;1
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;3651
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;1
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;2107
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3336
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;3
201901;SOFIA DEVELOPPEMENT;TELEVITALE;KINESITHERAPEUTE;27
201901;total;total;total;65303
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;2
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;48
201901;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;82
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;128
201901;__NO_GROUP__EIG;EIG;EO;1
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;169
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;20
201901;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;456
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;19
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;3
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;3
201901;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;15
201901;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;37
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;137
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;333
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;893
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;4
201902;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;26156
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;30
201902;GROUPE CEGEDIM;CEGEDIM SANTE;KINE+4000;10
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;25888
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;35
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;284
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;93
201902;GROUPE EQUASENS;PROKOV EDITIONS;KINE PRATIK;759
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;497
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;324
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;10
201902;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;55
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;1
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;75
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;EASYKINE;94
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;INFIMAX;1
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;KINEMAX;3690
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;2096
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;3351
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE PREMIUM;2
201902;SOFIA DEVELOPPEMENT;TELEVITALE;KINESITHERAPEUTE;28
201902;total;total;total;65835
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;3
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;50
201902;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;82
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;125
201902;__NO_GROUP__EIG;EIG;EO;2
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;167
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;17
201902;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;461
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;21
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;4
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;3
201902;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;16
201902;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;36
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;139
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;332
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;899
201903;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;3
201903;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;26516
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;30
201903;GROUPE CEGEDIM;CEGEDIM SANTE;KINE+4000;10
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;26069
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;36
201903;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;290
201903;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;98
201903;GROUPE EQUASENS;PROKOV EDITIONS;KINE PRATIK;761
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;501
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;325
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;11
201903;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;48
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV;1
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;77
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;EASYKINE;104
