dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1428
201901;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;58
201901;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1211
201901;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;871
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;4
201901;total;total;total;3662
201901;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;90
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1443
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1
201902;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;56
201902;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1220
201902;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;869
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;4
201902;total;total;total;3685
201902;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;92
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1471
201903;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;54
201903;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1236
201903;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;864
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;3
201903;total;total;total;3720
201903;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;92
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1444
201904;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;54
201904;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1242
201904;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;860
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;3
201904;total;total;total;3728
201904;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;125
201905;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1446
201905;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;50
201905;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1266
201905;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;849
201905;total;total;total;3736
201905;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;125
201906;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1456
201906;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;50
201906;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1288
201906;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;825
201906;total;total;total;3743
201906;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;124
201907;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1495
201907;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1
201907;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;40
201907;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1290
201907;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;791
201907;total;total;total;3741
201907;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;124
201908;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1507
201908;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;33
201908;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1280
201908;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;774
201908;total;total;total;3719
201908;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;125
201909;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1533
201909;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;33
201909;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1309
201909;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;747
201909;total;total;total;3747
201909;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;125
201910;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1563
201910;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1
201910;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;33
201910;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1317
201910;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;719
201910;total;total;total;3761
201910;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;128
201911;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1568
201911;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;33
201911;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1314
201911;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;718
201911;total;total;total;3762
201911;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;129
201912;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1563
201912;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;33
201912;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1315
201912;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;709
201912;total;total;total;3749
201912;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;129
202001;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1561
202001;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;31
202001;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1330
202001;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;705
202001;total;total;total;3743
202001;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;116
202002;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1579
202002;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;25
202002;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1350
202002;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;690
202002;total;total;total;3767
202002;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;123
202003;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1569
202003;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;22
202003;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1354
202003;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;686
202003;total;total;total;3756
202003;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;125
202004;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1513
202004;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;19
202004;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1321
202004;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;677
202004;total;total;total;3654
202004;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;124
202005;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1532
202005;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;19
202005;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1326
202005;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;680
202005;total;total;total;3681
202005;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;124
202006;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1548
202006;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;19
202006;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1362
202006;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;674
202006;total;total;total;3731
202006;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;128
202007;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1541
202007;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;18
202007;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;HEXALIS;1363
202007;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;PROGIMED FSE;672
202007;total;total;total;3721
202007;__NO_GROUP__CLARISYS INFORMATIQUE;CLARISYS INFORMATIQUE;CLARILAB;127
202008;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;1541
202008;DEDALUS FRANCE;DEDALUS HEALTHCARE FRANCE;DX LAB ONE;18
