dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;4765
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;214
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;123SANTE;35
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;8702
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;33
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;9979
201901;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;4
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;5712
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY VILLE;15
201901;GROUPE CEGEDIM;CEGEDIM SANTE;DOC'WARE;26
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;379
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDICLICK;3052
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIGEST EXPERT;1
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;78
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEGABAZE - ONCOBAZE;3
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1668
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SAM.NET;225
201901;GROUPE CEGEDIM;RESIP;FSE;125
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;626
201901;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;5526
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;5605
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;758
201901;GROUPE SOFTWAY MEDICAL;SOFTWAY MEDICAL RADIOLOGIE;SIR5;6
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;43
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;2
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;296
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE MEDECIN;5
201901;SOFIA DEVELOPPEMENT;TELEVITALE;MEDECIN;3
201901;total;total;total;54275
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;356
201901;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;488
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;494
201901;__NO_GROUP__EDL;EDL;XPLORE;12
201901;__NO_GROUP__EIG;EIG;EO;274
201901;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;32
201901;__NO_GROUP__MAIDIS;MAIDIS;AMIES;120
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;33
201901;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRAD FSE;1
201901;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;2084
201901;__NO_GROUP__OUVREZ LA BOITE;OUVREZ LA BOITE;SHAMAN;668
201901;__NO_GROUP__PROKOV EDITIONS;PROKOV EDITIONS;MEDI PRATIK;126
201901;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;106
201901;__NO_GROUP__RD SERVICES;RD SERVICES;MEDICAB;134
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1419
201901;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;30
201901;__NO_GROUP__SURGICA;SURGICA;SURGICA;11
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;4790
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;221
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;123SANTE;34
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;8711
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;34
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;9938
201902;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;4
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;5698
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY VILLE;14
201902;GROUPE CEGEDIM;CEGEDIM SANTE;DOC'WARE;24
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;365
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDICLICK;3053
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIGEST EXPERT;1
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;146
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEGABAZE - ONCOBAZE;3
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1687
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SAM.NET;216
201902;GROUPE CEGEDIM;RESIP;FSE;127
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;644
201902;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;5527
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;5600
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;777
