dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;11198
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;478
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;123SANTE;14
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;5579
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;109
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;4772
201901;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;282
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;2244
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY VILLE;16
201901;GROUPE CEGEDIM;CEGEDIM SANTE;DOC'WARE;6
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;367
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDICLICK;279
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIGEST EXPERT;3
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;137
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEGABAZE - ONCOBAZE;2
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1000
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SAM.NET;60
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SESAM START;5
201901;GROUPE CEGEDIM;RESIP;FSE;497
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;45
201901;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;3806
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;6691
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;SV CRIP P;2
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;690
201901;GROUPE SOFTWAY MEDICAL;SOFTWAY MEDICAL RADIOLOGIE;NUCLEA;15
201901;GROUPE SOFTWAY MEDICAL;SOFTWAY MEDICAL RADIOLOGIE;SIR5;300
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;217
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;10
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;467
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE MEDECIN;4
201901;SOFIA DEVELOPPEMENT;TELEVITALE;MEDECIN;3
201901;total;total;total;54728
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;257
201901;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;1392
201901;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;1
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;943
201901;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;15
201901;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;5
201901;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;1
201901;__NO_GROUP__EDL;EDL;XPLORE;3053
201901;__NO_GROUP__EIG;EIG;EO;37
201901;__NO_GROUP__ENOVACOM;ENOVACOM;GXD5 RIS;3905
201901;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;726
201901;__NO_GROUP__ENOVACOM;ENOVACOM;WORKFLOW MANAGER;51
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;2
201901;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;171
201901;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;35
201901;__NO_GROUP__MAIDIS;MAIDIS;AMIES;180
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;331
201901;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRAD FSE;18
201901;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;256
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;1212
201901;__NO_GROUP__OUVREZ LA BOITE;OUVREZ LA BOITE;SHAMAN;137
201901;__NO_GROUP__PROKOV EDITIONS;PROKOV EDITIONS;MEDI PRATIK;411
201901;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;56
201901;__NO_GROUP__RD SERVICES;RD SERVICES;MEDICAB;88
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1480
201901;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;285
201901;__NO_GROUP__SURGICA;SURGICA;SURGICA;309
201901;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;29
201901;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;4
201901;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;31
201901;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;9
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;11174
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;479
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;123SANTE;14
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;5596
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;108
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;4793
201902;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;280
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;2242
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY VILLE;17
201902;GROUPE CEGEDIM;CEGEDIM SANTE;DOC'WARE;6
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;357
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDICLICK;279
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIGEST EXPERT;3
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;239
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEGABAZE - ONCOBAZE;1
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1015
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SAM.NET;59
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SESAM START;5
201902;GROUPE CEGEDIM;RESIP;FSE;462
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;44
201902;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;3816
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;6716
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;SV CRIP P;2
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;700
201902;GROUPE SOFTWAY MEDICAL;SOFTWAY MEDICAL RADIOLOGIE;NUCLEA;16
201902;GROUPE SOFTWAY MEDICAL;SOFTWAY MEDICAL RADIOLOGIE;SIR5;278
201902;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;222
201902;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;9
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;465
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE MEDECIN;4
201902;SOFIA DEVELOPPEMENT;TELEVITALE;MEDECIN;3
201902;total;total;total;54895
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;271
201902;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;1417
201902;__NO_GROUP__AGATHA CD SOFT;AGATHA CD SOFT;AGATHA SEVEN;1
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;925
201902;__NO_GROUP__COULEUR ET CONNECTION;COULEUR ET CONNECTION;CC-VITALE;14
201902;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;DENTALVIA - MACDENT;4
201902;__NO_GROUP__DENTALVIA-MEDILOR;DENTALVIA-MEDILOR;WECLEVER DENTAL;1
201902;__NO_GROUP__EDL;EDL;XPLORE;3029
201902;__NO_GROUP__EIG;EIG;EO;38
201902;__NO_GROUP__ENOVACOM;ENOVACOM;GXD5 RIS;3958
201902;__NO_GROUP__ENOVACOM;ENOVACOM;OSOFT;718
201902;__NO_GROUP__ENOVACOM;ENOVACOM;WORKFLOW MANAGER;52
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;2
201902;__NO_GROUP__IMAGEX;IMAGEX;LOGOS_W;170
201902;__NO_GROUP__JULIE SOLUTIONS;JULIE SOLUTIONS;JULIE;35
201902;__NO_GROUP__MAIDIS;MAIDIS;AMIES;176
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;339
201902;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRAD FSE;18
201902;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;260
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;1208
201902;__NO_GROUP__OUVREZ LA BOITE;OUVREZ LA BOITE;SHAMAN;137
201902;__NO_GROUP__PROKOV EDITIONS;PROKOV EDITIONS;MEDI PRATIK;417
201902;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;56
201902;__NO_GROUP__RD SERVICES;RD SERVICES;MEDICAB;87
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;1484
201902;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;289
201902;__NO_GROUP__SURGICA;SURGICA;SURGICA;311
201902;__NO_GROUP__TROPHY - CARESTREAM;TROPHY - CARESTREAM;CS TROPHY GESTION;28
201902;__NO_GROUP__VISIODENT;VISIODENT;GESDENT 4;5
201902;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 100;31
201902;__NO_GROUP__VISIODENT;VISIODENT;VISIODENT LIGNE 500;10
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;11335
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;486
201903;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;123SANTE;14
201903;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;5604
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;113
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;4793
201903;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;193
201903;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;2245
