dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;140
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;441
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;IRRIS + WEB INTELLIO;9
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;297
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;OPTIMUM CLASSIC + WEB INTELLIO;149
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINIPRO + WEB INTELLIO;7
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINOPTICS + WEB INTELLIO;326
201901;REFLEX HOLDING;CRISTALLIN;IRRIS;451
201901;total;total;total;5094
201901;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;1137
201901;__NO_GROUP__GRANDVISION FRANCE;GRANDVISION FRANCE;SYNERGIE OPTIQUE;459
201901;__NO_GROUP__IDM;IDM;IDM SOFTWARE;461
201901;__NO_GROUP__OCUCOASPE;OCUCOASPE;LIO;158
201901;__NO_GROUP__OPTICEMARKET.COM;OPTICEMARKET.COM;OPTIC-BOX;163
201901;__NO_GROUP__OPTIMUM CIT;OPTIMUM CIT;OPTIMUM CLASSIC;68
201901;__NO_GROUP__OPTIMUM CIT;OPTIMUM CIT;OPTIMUM LIVE;351
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
201901;__NO_GROUP__SOGESA;SOGESA;OPIUM;88
201901;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;387
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;143
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;450
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;IRRIS + WEB INTELLIO;9
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;317
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;OPTIMUM CLASSIC + WEB INTELLIO;142
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO FOURNISSEURS;2
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINIPRO + WEB INTELLIO;5
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINOPTICS + WEB INTELLIO;328
201902;REFLEX HOLDING;CRISTALLIN;IRRIS;438
201902;total;total;total;5231
201902;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;1211
201902;__NO_GROUP__GRANDVISION FRANCE;GRANDVISION FRANCE;SYNERGIE OPTIQUE;465
201902;__NO_GROUP__IDM;IDM;IDM SOFTWARE;464
201902;__NO_GROUP__OCUCOASPE;OCUCOASPE;LIO;165
201902;__NO_GROUP__OPTICEMARKET.COM;OPTICEMARKET.COM;OPTIC-BOX;163
201902;__NO_GROUP__OPTIMUM CIT;OPTIMUM CIT;OPTIMUM CLASSIC;81
201902;__NO_GROUP__OPTIMUM CIT;OPTIMUM CIT;OPTIMUM LIVE;370
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
201902;__NO_GROUP__SOGESA;SOGESA;OPIUM;91
201902;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;385
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;146
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;464
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;IRRIS + WEB INTELLIO;9
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;335
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;OPTIMUM CLASSIC + WEB INTELLIO;135
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINIPRO + WEB INTELLIO;7
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WINOPTICS + WEB INTELLIO;328
201903;REFLEX HOLDING;CRISTALLIN;IRRIS;431
201903;total;total;total;5395
201903;__NO_GROUP__COSIUM;COSIUM;COSIUM CENTER;1309
201903;__NO_GROUP__GRANDVISION FRANCE;GRANDVISION FRANCE;SYNERGIE OPTIQUE;467
201903;__NO_GROUP__IDM;IDM;IDM SOFTWARE;470
201903;__NO_GROUP__OCUCOASPE;OCUCOASPE;LIO;161
201903;__NO_GROUP__OPTICEMARKET.COM;OPTICEMARKET.COM;OPTIC-BOX;167
201903;__NO_GROUP__OPTIMUM CIT;OPTIMUM CIT;OPTIMUM CLASSIC;94
201903;__NO_GROUP__OPTIMUM CIT;OPTIMUM CIT;OPTIMUM LIVE;391
201903;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;2
201903;__NO_GROUP__SOGESA;SOGESA;OPIUM;91
201903;__NO_GROUP__VERTICALOPTIC;VERTICALOPTIC;IVOIRNET;388
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;144
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO EDITEURS;467
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;IRRIS + WEB INTELLIO;8
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;MYEASYOPTIC + WEB INTELLIO;341
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;OPTIMUM CLASSIC + WEB INTELLIO;129
