dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;179
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1216
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;3
201901;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;5607
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;74
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;5928
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;11
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;14
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;31
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;376
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;70
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;8
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;35
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;8
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2642
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;714
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;561
201901;total;total;total;18881
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;21
201901;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;49
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;116
201901;__NO_GROUP__EIG;EIG;EO;1
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;7
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;3
201901;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;1062
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;5
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;5
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201901;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;12
201901;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;10
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;112
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;176
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1216
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;3
201902;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;5631
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;74
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;5990
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;13
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;15
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;32
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;375
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;71
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;7
201902;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;34
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;7
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;2694
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;727
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;569
201902;total;total;total;19063
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;21
201902;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;49
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;118
201902;__NO_GROUP__EIG;EIG;EO;1
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EQUINOX;6
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;3
201902;__NO_GROUP__LOGISUR'M;LOGISUR'M;SOINS 2000;1084
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;5
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;5
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;1
201902;__NO_GROUP__QUI MANAGE;QUI MANAGE;POWERFSE P;11
201902;__NO_GROUP__RD SERVICES;RD SERVICES;AUXICAB;10
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;115
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;183
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1208
201903;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;3
201903;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;5657
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;71
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;5996
