dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;248
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;225
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;2
201901;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;357
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;62
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;933
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;4
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;1
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;209
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;13
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;3
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;GALAXIE SOINS;4
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;1
201901;SOFIA DEVELOPPEMENT;LOGICMAX;LOGICMAX SV;3
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;CONVILOG SV2;1
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;ORTHOMAX;209
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;108
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;52
201901;total;total;total;2601
201901;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;22
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;38
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;11
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;9
