dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;826
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;2
201901;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;88
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;47
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1399
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;2
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;15
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;580
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;53
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201901;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;1
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;380
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;59
201901;total;total;total;3927
201901;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;142
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;68
201901;__NO_GROUP__EIG;EIG;EO;4
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;37
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;40
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;68
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;115
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;860
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1
201902;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;88
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;47
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1400
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;17
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;582
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;52
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201902;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;1
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;388
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;59
201902;total;total;total;3975
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;1
201902;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;142
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;63
201902;__NO_GROUP__EIG;EIG;EO;4
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;41
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;42
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;69
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;116
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;918
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;2
201903;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;93
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;49
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1429
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1
201903;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;18
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;593
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;52
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201903;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;1
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;395
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;65
201903;total;total;total;4102
201903;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
201903;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;1
201903;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;147
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;63
201903;__NO_GROUP__EIG;EIG;EO;4
201903;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;46
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;38
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;70
201903;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;115
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;946
201904;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;3
201904;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;95
201904;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;47
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1444
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1
201904;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;17
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;597
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;UBINECT;55
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;1
201904;GROUPE SOFTWAY MEDICAL;XTREM Santé;OX MEDIBOARD;1
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TELEVITALE;397
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;66
201904;total;total;total;4161
201904;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;1
201904;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);VITACLIC;1
201904;__NO_GROUP__ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE (CENTRE DE GESTION ET DE FORMATION);ANDREANE;149
201904;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;62
201904;__NO_GROUP__EIG;EIG;EO;4
201904;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;48
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;35
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;74
201904;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;117
201905;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;970
201905;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;2
201905;COMPUGROUP MEDICAL FRANCE;EPSILOG;VEGA;96
201905;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;47
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1449
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;1
201905;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;19
