dateData;groupe;editeur;progiciel;nbPsFacturation
201901;ASTERA;CERP ROUEN;LEO;221
201901;ASTERA;CERP ROUEN;LEO 2.0;735
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;946
201901;GROUPE CEGEDIM;ASP LINE;PERIPHAR;226
201901;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4212
201901;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;917
201901;GROUPE CEGEDIM;SMART RX;OPUS;500
201901;GROUPE EQUASENS;EQUASENS;LGPI;8969
201901;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201901;total;total;total;21840
201901;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;533
201901;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4580
201902;ASTERA;CERP ROUEN;LEO;198
201902;ASTERA;CERP ROUEN;LEO 2.0;756
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;961
201902;GROUPE CEGEDIM;ASP LINE;PERIPHAR;196
201902;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4200
201902;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;906
201902;GROUPE CEGEDIM;SMART RX;OPUS;495
201902;GROUPE EQUASENS;EQUASENS;LGPI;8934
201902;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201902;total;total;total;21781
201902;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;528
201902;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4606
201903;ASTERA;CERP ROUEN;LEO;174
201903;ASTERA;CERP ROUEN;LEO 2.0;774
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;979
201903;GROUPE CEGEDIM;ASP LINE;PERIPHAR;185
201903;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4174
201903;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;886
201903;GROUPE CEGEDIM;SMART RX;OPUS;486
201903;GROUPE EQUASENS;EQUASENS;LGPI;8924
201903;GROUPE EQUASENS;EQUASENS;PRIMORIS;1
201903;total;total;total;21758
201903;__NO_GROUP__CADUCIEL INFORMATIQUE;CADUCIEL INFORMATIQUE;CADUCIEL 6;525
201903;__NO_GROUP__EVERYS;EVERYS;WINPHARMA;4650
201904;ASTERA;CERP ROUEN;LEO;156
201904;ASTERA;CERP ROUEN;LEO 2.0;780
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;991
201904;GROUPE CEGEDIM;ASP LINE;PERIPHAR;157
201904;GROUPE CEGEDIM;SMART RX;ALLIANCE + FES;4166
201904;GROUPE CEGEDIM;SMART RX;LOGIPHAR FES;875
