dateData;groupe;editeur;progiciel;nbPsFacturation
201901;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;462
201901;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1075
201901;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;47
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201901;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;331
201901;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;2
201901;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1094
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;2
201901;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;24
201901;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;528
201901;GROUPE CEGEDIM;RESIP;FSE;1
201901;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;41
201901;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;111
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1298
201901;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;21
201901;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;444
201901;total;total;total;5946
201901;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;15
201901;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;7
201901;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;164
201901;__NO_GROUP__EDL;EDL;XPLORE;2
201901;__NO_GROUP__EIG;EIG;EO;36
201901;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;4
201901;__NO_GROUP__MAIDIS;MAIDIS;AMIES;3
201901;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;24
201901;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;79
201901;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;6
201901;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;116
201901;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;1
201902;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;472
201902;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1090
201902;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;47
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201902;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;332
201902;EVOLUCARE TECHNOLOGIES;ACTIBASE;ACTIBASE RADIOLOGIE;1
201902;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1109
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;12
201902;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;26
201902;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;527
201902;GROUPE CEGEDIM;RESIP;FSE;1
201902;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;44
201902;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;115
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1306
201902;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;18
201902;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;440
201902;total;total;total;6005
201902;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;18
201902;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;7
201902;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;165
201902;__NO_GROUP__EDL;EDL;XPLORE;2
201902;__NO_GROUP__EIG;EIG;EO;35
201902;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;4
201902;__NO_GROUP__MAIDIS;MAIDIS;AMIES;3
201902;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;23
201902;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;74
201902;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;10
201902;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;115
201902;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;1
201903;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;488
201903;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1102
201903;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;47
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201903;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;328
201903;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1118
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;12
201903;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;26
201903;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;538
201903;GROUPE CEGEDIM;RESIP;FSE;1
201903;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;46
201903;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;113
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1304
201903;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;18
201903;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;449
201903;total;total;total;6049
201903;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;21
201903;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;7
201903;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;161
201903;__NO_GROUP__EDL;EDL;XPLORE;2
201903;__NO_GROUP__EIG;EIG;EO;33
201903;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;3
201903;__NO_GROUP__MAIDIS;MAIDIS;AMIES;3
201903;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;22
201903;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;72
201903;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;11
201903;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;115
201903;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;1
201904;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;494
201904;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1116
201904;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;50
201904;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201904;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;321
201904;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1118
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;12
201904;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;29
201904;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;549
201904;GROUPE CEGEDIM;RESIP;FSE;1
201904;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;45
201904;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;113
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1317
201904;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;17
201904;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;442
201904;total;total;total;6081
201904;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;21
201904;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;7
201904;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;162
201904;__NO_GROUP__EDL;EDL;XPLORE;2
201904;__NO_GROUP__EIG;EIG;EO;32
201904;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;3
201904;__NO_GROUP__MAIDIS;MAIDIS;AMIES;3
201904;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;21
201904;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;68
201904;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;13
201904;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;116
201904;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;1
201905;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;500
201905;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1121
201905;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;48
201905;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201905;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;319
201905;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1129
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;11
201905;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;28
201905;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;549
201905;GROUPE CEGEDIM;RESIP;FSE;1
201905;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;47
201905;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;115
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1323
201905;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
201905;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;440
201905;total;total;total;6097
201905;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;22
201905;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;7
201905;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;157
201905;__NO_GROUP__EDL;EDL;XPLORE;2
201905;__NO_GROUP__EIG;EIG;EO;30
201905;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;3
201905;__NO_GROUP__MAIDIS;MAIDIS;AMIES;3
201905;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;21
201905;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201905;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;69
201905;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;14
201905;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;113
201905;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;1
201906;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;511
201906;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1126
201906;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;47
201906;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201906;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;315
201906;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201906;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1129
201906;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;12
201906;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;34
201906;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;548
201906;GROUPE CEGEDIM;RESIP;FSE;1
201906;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;47
201906;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;114
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1315
201906;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;15
201906;SOFIA DEVELOPPEMENT;SOFIA DEVELOPPEMENT;TOPAZE;442
201906;total;total;total;6106
201906;VIDAL FRANCE;CALIMAPS (BSA DEVELOPPEMENT BORDEAUX);DR SANTE;22
201906;__NO_GROUP__ADSION INFO SANTE;ADSION INFO SANTE;MED'OC SV;7
201906;__NO_GROUP__CBA (CBA INFORMATIQUE LIBERALE);CBA (CBA INFORMATIQUE LIBERALE);IN'DI;158
201906;__NO_GROUP__EDL;EDL;XPLORE;2
201906;__NO_GROUP__EIG;EIG;EO;32
201906;__NO_GROUP__FIDUCIAL INFORMATIQUE;FIDUCIAL INFORMATIQUE;EUREKA;3
201906;__NO_GROUP__MAIDIS;MAIDIS;AMIES;3
201906;__NO_GROUP__MEDICONCEPT;MEDICONCEPT;VITAL ONLINE;20
201906;__NO_GROUP__MEDXSOFT;MEDXSOFT;PIRADEVOFSE;1
201906;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE;68
201906;__NO_GROUP__OLAQIN;OLAQIN;AFFID VITALE NXT;14
201906;__NO_GROUP__SAFICARD;SAFICARD;INGENIUS;112
201906;__NO_GROUP__SODAPI;SODAPI;GESTCAB-SV 6.40;1
201907;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;Autres éditeurs/solutions non répertoriés;433
201907;COMPUGROUP MEDICAL FRANCE;AATLANTIDE;ACTEUR.FR;1115
201907;COMPUGROUP MEDICAL FRANCE;COMPUGROUP MEDICAL SOLUTIONS;AXIAM;47
201907;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;CGM EVITALE;1
201907;COMPUGROUP MEDICAL FRANCE;IMAGINE EDITIONS;HELLODOC;309
201907;GROUPE CEGEDIM;CEGEDIM SANTE;CROSSWAY;6
201907;GROUPE CEGEDIM;CEGEDIM SANTE;MEDI+4000;1136
201907;GROUPE CEGEDIM;CEGEDIM SANTE;MEDIMUST;13
201907;GROUPE CEGEDIM;CEGEDIM SANTE;MONLOGICIELMEDICAL.COM;33
201907;GROUPE CEGEDIM;CEGEDIM SANTE;SIMPLY-VITALE;551
201907;GROUPE CEGEDIM;RESIP;FSE;1
201907;GROUPE EQUASENS;INTERNATIONAL CROSS TALK;CHORUS;49
201907;GROUPE EQUASENS;PROKOV EDITIONS;EXPRESS VITALE;112
201907;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;INTELLIO;1310
201907;GROUPE ORISHA;ORISHA HEALTHCARE FRANCE;WEB INTELLIO;16
